domain,nameservers,expiry,registrar
0xqi.com,   NS1-08.AZURE-DNS.COM
   NS2-08.AZURE-DNS.NET
   NS3-08.AZURE-DNS.ORG
   NS4-08.AZURE-DNS.INFO
NS1-08.AZURE-DNS.COM
NS2-08.AZURE-DNS.NET
NS3-08.AZURE-DNS.ORG
NS4-08.AZURE-DNS.INFO,2020-05-03,   Wild West Domains, LLC
1auth.pw,NS1-04.AZURE-DNS.COM
NS2-04.AZURE-DNS.NET
NS3-04.AZURE-DNS.ORG
NS4-04.AZURE-DNS.INFO,2020-04-25,Namecheap
3ric.in,ns1-01.azure-dns.com
ns2-01.azure-dns.net
ns4-01.azure-dns.info
ns3-01.azure-dns.org,2020-10-24,Wild West Domains, LLC
6thstreetphotography.com,   NS1-03.AZURE-DNS.COM
   NS2-03.AZURE-DNS.NET
   NS3-03.AZURE-DNS.ORG
   NS4-03.AZURE-DNS.INFO
NS1-03.AZURE-DNS.COM
NS2-03.AZURE-DNS.NET
NS3-03.AZURE-DNS.ORG
NS4-03.AZURE-DNS.INFO,2020-10-14,   Wild West Domains, LLC
axxs.in,ns3-04.azure-dns.org
ns2-04.azure-dns.net
ns1-04.azure-dns.com
ns4-04.azure-dns.info,2020-06-14,Wild West Domains, LLC
azcsp.com,   NS1-08.AZURE-DNS.COM
   NS2-08.AZURE-DNS.NET
   NS3-08.AZURE-DNS.ORG
   NS4-08.AZURE-DNS.INFO
NS1-08.AZURE-DNS.COM
NS2-08.AZURE-DNS.NET
NS3-08.AZURE-DNS.ORG
NS4-08.AZURE-DNS.INFO,2020-05-04,   Wild West Domains, LLC
bluestocking-editorial.com,   NS1-06.AZURE-DNS.COM
   NS2-06.AZURE-DNS.NET
   NS3-06.AZURE-DNS.ORG
   NS4-06.AZURE-DNS.INFO
NS1-06.AZURE-DNS.COM
NS2-06.AZURE-DNS.NET
NS3-06.AZURE-DNS.ORG
NS4-06.AZURE-DNS.INFO,2020-07-09,   Wild West Domains, LLC
d-r.pw,NS11.VALUE-DOMAIN.COM
NS12.VALUE-DOMAIN.COM
NS13.VALUE-DOMAIN.COM,2020-12-25,GMO
discount-domains.net,   NS1-02.AZURE-DNS.COM
   NS2-02.AZURE-DNS.NET
   NS3-02.AZURE-DNS.ORG
   NS4-02.AZURE-DNS.INFO
NS1-02.AZURE-DNS.COM
NS2-02.AZURE-DNS.NET
NS3-02.AZURE-DNS.ORG
NS4-02.AZURE-DNS.INFO,2020-05-24,   Wild West Domains, LLC
doteric.com,   NS1-06.AZURE-DNS.COM
   NS2-06.AZURE-DNS.NET
   NS3-06.AZURE-DNS.ORG
   NS4-06.AZURE-DNS.INFO
NS1-06.AZURE-DNS.COM
NS2-06.AZURE-DNS.NET
NS3-06.AZURE-DNS.ORG
NS4-06.AZURE-DNS.INFO,2020-10-30,   Wild West Domains, LLC
e8labs.net,   NS1-09.AZURE-DNS.COM
   NS2-09.AZURE-DNS.NET
   NS3-09.AZURE-DNS.ORG
   NS4-09.AZURE-DNS.INFO
NS1-09.AZURE-DNS.COM
NS2-09.AZURE-DNS.NET
NS3-09.AZURE-DNS.ORG
